tissue,modality,method_1,method_2,intersection,union,jaccard
A,Protein,STABL,XGBoost + RFECV,1,33,0.030303030303030304
A,Protein,STABL,SVM + RFECV,2,33,0.06060606060606061
A,Protein,XGBoost + RFECV,SVM + RFECV,0,7,0.0
A,RNA + Protein,STABL,XGBoost + RFECV,1,73,0.0136986301369863
A,RNA + Protein,STABL,SVM + RFECV,2,64,0.03125
A,RNA + Protein,XGBoost + RFECV,SVM + RFECV,1,25,0.04
G,Protein,STABL,XGBoost + RFECV,1,21,0.047619047619047616
G,Protein,STABL,SVM + RFECV,1,19,0.05263157894736842
G,Protein,XGBoost + RFECV,SVM + RFECV,0,6,0.0
G,RNA + Protein,STABL,XGBoost + RFECV,1,37,0.02702702702702703
G,RNA + Protein,STABL,SVM + RFECV,2,35,0.05714285714285714
G,RNA + Protein,XGBoost + RFECV,SVM + RFECV,1,32,0.03125
H,Protein,STABL,XGBoost + RFECV,2,11,0.18181818181818182
H,Protein,STABL,SVM + RFECV,3,11,0.2727272727272727
H,Protein,XGBoost + RFECV,SVM + RFECV,2,7,0.2857142857142857
H,RNA + Protein,STABL,XGBoost + RFECV,2,39,0.05128205128205128
H,RNA + Protein,STABL,SVM + RFECV,9,32,0.28125
H,RNA + Protein,XGBoost + RFECV,SVM + RFECV,2,34,0.058823529411764705
